"id","label","continent","region","lat","long","continent_fr"
"Afghanistan","Afghanistan","Asia","South Asia",33.7680065,66.2385139,"Asie"
"Albania","Albanie","Europe","Europe & Central Asia",41.000028,19.9999619,"Europe"
"Algeria","Algérie","Africa","Middle East & North Africa",28.0000272,2.9999825,"Afrique"
"Andorra","Andorre","Europe","Europe & Central Asia",42.5407167,1.5732033,"Europe"
"Angola","Angola","Africa","Sub-Saharan Africa",-11.8775768,17.5691241,"Afrique"
"Antigua and Barbuda","Antigua-et-Barbuda","Americas","Latin America & Caribbean",17.2234721,-61.9554608,"Amériques"
"Argentina","Argentine","Americas","Latin America & Caribbean",-34.9964963,-64.9672817,"Amériques"
"Armenia","Arménie","Asia","Europe & Central Asia",40.7696272,44.6736646,"Asie"
"Australia","Australie","Oceania","East Asia & Pacific",-24.7761086,134.755,"Océanie"
"Austria","Autriche","Europe","Europe & Central Asia",47.2,13.2,"Europe"
"Azerbaijan","Azerbaïdjan","Asia","Europe & Central Asia",40.3936294,47.7872508,"Asie"
"Bahamas","Bahamas","Americas","Latin America & Caribbean",24.7736546,-78.0000547,"Amériques"
"Bahrain","Bahreïn","Asia","Middle East & North Africa",26.1551249,50.5344606,"Asie"
"Bangladesh","Bangladesh","Asia","South Asia",24.4768783,90.2932426,"Asie"
"Barbados","Barbade","Americas","Latin America & Caribbean",13.1500331,-59.5250305,"Amériques"
"Belarus","Biélorussie","Europe","Europe & Central Asia",53.4250605,27.6971358,"Europe"
"Belgium","Belgique","Europe","Europe & Central Asia",50.6402809,4.6667145,"Europe"
"Belize","Belize","Americas","Latin America & Caribbean",16.8259793,-88.7600927,"Amériques"
"Benin","Bénin","Africa","Sub-Saharan Africa",9.2231105,2.31006719638123,"Afrique"
"Bhutan","Bhoutan","Asia","South Asia",27.549511,90.5119273,"Asie"
"Bolivia","Bolivie","Americas","Latin America & Caribbean",-17.0568696,-64.9912286,"Amériques"
"Bosnia and Herzegovina","Bosnie-Herzégovine","Europe","Europe & Central Asia",44.3053476,17.5961467,"Europe"
"Botswana","Botswana","Africa","Sub-Saharan Africa",-23.1681782,24.5928742,"Afrique"
"Brazil","Brésil","Americas","Latin America & Caribbean",-10.3333333,-53.2,"Amériques"
"British East Africa","Afrique orientale britannique","Africa","Sub-Saharan Africa",1.4419683,38.4313975,"Afrique"
"Brunei Darussalam","Brunei Darussalam","Asia","East Asia & Pacific",4.4137155,114.5653908,"Asie"
"Bulgaria","Bulgarie","Europe","Europe & Central Asia",42.6073975,25.4856617,"Europe"
"Burkina Faso","Burkina Faso","Africa","Sub-Saharan Africa",12.0753083,-1.6880314,"Afrique"
"Burundi","Burundi","Africa","Sub-Saharan Africa",-3.3634357,29.8870575,"Afrique"
"Cambodia","Cambodge","Asia","East Asia & Pacific",13.5066394,104.869423,"Asie"
"Cameroon","Cameroun","Africa","Sub-Saharan Africa",4.6125522,13.1535811,"Afrique"
"Canada","Canada","Americas","North America",61.0666922,-107.991707,"Amériques"
"Cape Verde","Cap-Vert","Africa","Sub-Saharan Africa",16.0000552,-24.0083947,"Afrique"
"Central African Republic","République centrafricaine","Africa","Sub-Saharan Africa",7.0323598,19.9981227,"Afrique"
"Chad","Tchad","Africa","Sub-Saharan Africa",15.6134137,19.0156172,"Afrique"
"Chile","Chili","Americas","Latin America & Caribbean",-31.7613365,-71.3187697,"Amériques"
"China","Chine","Asia","East Asia & Pacific",35.000074,104.999927,"Asie"
"Colombia","Colombie","Americas","Latin America & Caribbean",2.8894434,-73.783892,"Amériques"
