"pays_new","pays_francais"
"Afghanistan","Afghanistan"
"Albania","Albanie"
"Algeria","Algérie"
"Andorra","Andorre"
"Angola","Angola"
"Antigua and Barbuda","Antigua-et-Barbuda"
"Argentina","Argentine"
"Armenia","Arménie"
"Australia","Australie"
"Austria","Autriche"
"Azerbaijan","Azerbaïdjan"
"Bahamas","Bahamas"
"Bahrain","Bahreïn"
"Bangladesh","Bangladesh"
"Barbados","Barbade"
"Belarus","Biélorussie"
"Belgium","Belgique"
"Belize","Belize"
"Benin","Bénin"
"Bhutan","Bhoutan"
"Bolivia","Bolivie"
"Bosnia and Herzegovina","Bosnie-Herzégovine"
"Botswana","Botswana"
"Brazil","Brésil"
"British East Africa","Afrique orientale britannique"
"Brunei Darussalam","Brunei Darussalam"
"Bulgaria","Bulgarie"
"Burkina Faso","Burkina Faso"
"Burundi","Burundi"
"Cambodia","Cambodge"
"Cameroon","Cameroun"
"Canada","Canada"
"Cape Verde","Cap-Vert"
"Central African Republic","République centrafricaine"
"Chad","Tchad"
"Chile","Chili"
"China","Chine"
"Colombia","Colombie"
"Comoros","Comores"
"Congo-Kinshasa","Congo-Kinshasa"
"Congo, Republic of the","Congo-Brazzaville"
"Costa Rica","Costa Rica"
"Côte d’Ivoire","Côte d'Ivoire"
"Croatia","Croatie"
"Cuba","Cuba"
"Cyprus","Chypre"
"Czech Republic","République tchèque"
"Czechoslovakia","Tchécoslovaquie"
"Denmark","Danemark"
"Djibouti","Djibouti"
"Dominica","Dominique"
"Dominican Republic","République dominicaine"
"Ecuador","Équateur"
"Egypt","Égypte"
"El Salvador","El Salvador"
"Equatorial Guinea","Guinée équatoriale"
"Eritrea","Érythrée"
"Estonia","Estonie"
"Ethiopia","Éthiopie"
"Fiji","Fidji"
"Finland","Finlande"
"France","France"
"Gabon","Gabon"
"Gambia, The","Gambie"
"Georgia","Géorgie"
"German Democratic Republic","République démocratique allemande"
"German Federal Republic","République fédérale d'Allemagne"
"Germany","Allemagne"
"Ghana","Ghana"
"Greece","Grèce"
"Grenada","Grenade"
"Guatemala","Guatemala"
"Guinea","Guinée"
"Guinea-Bissau","Guinée-Bissau"
"Guyana","Guyana"
"Haiti","Haïti"
"Holy See (Vatican)","Saint-Siège"
"Honduras","Honduras"
"Hungary","Hongrie"
"Iceland","Islande"
"India","Inde"
"Indonesia","Indonésie"
"Iran","Iran"
"Iraq","Irak"
"Ireland","Irlande"
"Israel","Israël"
"Italy","Italie"
"Jamaica","Jamaïque"
"Japan","Japon"
"Jordan","Jordanie"
"Kazakhstan","Kazakhstan"
"Kenya","Kenya"
"Kiribati","Kiribati"
"Korea, Democratic People's Republic of","Corée du Nord"
"Korea, Republic of","Corée du Sud"
"Kosovo","Kosovo"
"Kuwait","Koweït"
"Kyrgyzstan","Kirghizistan"
"Lao People's Democratic Republic","Laos"
"Latvia","Lettonie"
"Lebanon","Liban"
"Lesotho","Lesotho"
"Liberia","Libéria"
"Libya","Libye"
"Liechtenstein","Liechtenstein"
"Lithuania","Lituanie"
"Luxembourg","Luxembourg"
"Macedonia","Macédoine"
"Madagascar","Madagascar"
"Malawi","Malawi"
"Malaysia","Malaisie"
"Maldives","Maldives"
"Mali","Mali"
"Malta","Malte"
"Marshall Islands","Îles Marshall"
"Mauritania","Mauritanie"
"Mauritius","Maurice"
"Mexico","Mexique"
"Micronesia, Federated States of","Micronésie"
"Moldova, Republic of","Moldavie"
"Monaco","Monaco"
"Mongolia","Mongolie"
"Montenegro","Monténégro"
"Montserrat","Montserrat"
"Morocco","Maroc"
"Mozambique","Mozambique"
"Myanmar","Birmanie"
"Namibia","Namibie"
"Nauru","Nauru"
"Nepal","Népal"
"Netherlands","Pays-Bas"
"New Zealand","Nouvelle-Zélande"
"Nicaragua","Nicaragua"
"Niger","Niger"
"Nigeria","Nigeria"
"Northern Cyprus","Chypre du Nord"
"Norway","Norvège"
"Oman","Oman"
"Pakistan","Pakistan"
"Palau","Palaos"
"Panama","Panama"
"Papua New Guinea","Papouasie Nouvelle Guinée"
"Paraguay","Paraguay"
"Peru","Pérou"
"Philippines","Philippines"
"Poland","Pologne"
"Portugal","Portugal"
"Qatar","Qatar"
"Romania","Roumanie"
"Russia","Russie"
"Russian Federation","Fédération Russe"
"Rwanda","Rwanda"
"Saint Kitts and Nevis","Saint-Christophe-et-Niévès"
"Saint Lucia","Sainte-Lucie"
"Saint Vincent and the Grenadines","Saint-Vincent-et-les-Grenadines"
"Samoa (Formerly Western Samoa)","Samoa"
"San Marino","Saint Marin"
"Sao Tome and Principe","Sao Tomé et Principe"
"Saudi Arabia","Arabie Saoudite"
"Senegal","Sénégal"
"Serbia","Serbie"
"Seychelles","Seychelles"
"Sierra Leone","Sierra Leone"
"Singapore","Singapour"
"Slovakia","Slovaquie"
"Slovenia","Slovénie"
"Solomon Islands","Îles Salomon"
"Somalia","Somalie"
"South Africa","Afrique du Sud"
"South Sudan","Soudan du Sud"
"Spain","Espagne"
"Sri Lanka","Sri Lanka"
"Sudan","Soudan"
"Suriname","Suriname"
"Swaziland","Swaziland"
"Sweden","Suède"
"Switzerland","Suisse"
"Syria","Syrie"
"Taiwan","Taïwan"
"Tajikistan","Tadjikistan"
"Tanganyika","Tanganyika"
"Tanzania, United Republic of","Tanzanie"
"Thailand","Thaïlande"
"Timor Leste","Timor oriental"
"Togo","Togo"
"Tonga","Tonga"
"Trinidad and Tobago","Trinité-et-Tobago"
"Tunisia","Tunisie"
"Turkey","Turquie"
"Turkmenistan","Turkménistan"
"Tuvalu","Tuvalu"
"Uganda","Ouganda"
"Ukraine","Ukraine"
"United Arab Emirates","Émirats Arabes Unis"
"United Kingdom","Royaume-Uni"
"United States","États-Unis"
"Uruguay","Uruguay"
"Uzbekistan","Ouzbékistan"
"Vanuatu","Vanuatu"
"Venezuela","Venezuela"
"Viet Nam","Viet Nam"
"Yemen","Yémen"
"Yugoslavia","Yougoslavie"
"Zambia","Zambie"
"Zanzibar","Zanzibar"
"Zimbabwe","Zimbabwe"
